"Some top phrases containing 8 words (without punctuation marks)","Occurrences"
"gaat over tot de orde van de dag",24
"en gaat over tot de orde van de",24
"naar mij blijkt wordt de indiening ervan voldoende",19
"mij blijkt wordt de indiening ervan voldoende ondersteund",19
"de voorzitter deze motie is voorgesteld door de",16
"voorzitter deze motie is voorgesteld door de leden",16
"voorzitter deze motie is voorgesteld door het lid",8
"de voorzitter deze motie is voorgesteld door het",8
"de kamer gehoord de beraadslaging overwegende dat de",6
"de kamer gehoord de beraadslaging constaterende dat het",6
"deze motie is voorgesteld door de leden van",4
"deze motie is voorgesteld door de leden pechtold",4
"is voorgesteld door de leden van der staaij",3
"motie is voorgesteld door de leden pechtold klaver",3
"motie is voorgesteld door de leden klaver segers",3
"is voorgesteld door de leden klaver segers pechtold",3
"voorgesteld door de leden klaver segers pechtold en",3
"deze motie is voorgesteld door de leden klaver",3
"motie is voorgesteld door de leden van der",3
"voorgesteld door de leden van der staaij segers",2
"2016 een antwoord te formuleren op de uitkomst",2
"staan van instellingen vanuit landen die zelf geen",2
"je niet wordt beoordeeld op je afkomst maar",2
"toe te staan van instellingen vanuit landen die",2
"informeren en gaat over tot de orde van",2
"geeft invulling aan de gevraagde voorbereiding voor het",2
"te informeren en gaat over tot de orde",2
"zelf geen godsdienstvrijheid en vrijheid van meningsuiting kennen",2
"die zelf geen godsdienstvrijheid en vrijheid van meningsuiting",2
"financiering toe te staan van instellingen vanuit landen",2
