"Some top phrases containing 7 words (without punctuation marks)","Occurrences"
"roept dan kan er maar één reactie",2
"is het toch van belang dat je",2
"mensen van wie we zeker weten dat",2
"het moment dat de asielzoeker eraan toe",2
"vragen hoe zit dit hoe zat dat",2
"dan kan er maar één reactie zijn",2
"voorstander van formele taallessen als mensen nog",2
"een meerderheid van de kamer vindt dat",2
"geen voorstander van formele taallessen als mensen",2
"van wie we zeker weten dat ze",2
"dan is het toch van belang dat",2
"moment dat de asielzoeker eraan toe is",2
"oprotten roept dan kan er maar één",2
