"State","2009","2010","2011","2012","2013","2014","2015"
"ACBG","0,178","0,178","0,178","0,18","0,203","0,215","0,192"
"AGNL",,"179,864","183,25","177,455","149,833",,
"AID","70,66","68,694",,,,,
"Almata","23,835","33,254","31,993","28,438","10,183","4,964",
"ASZW","12,026","13,299","14,328","13,209","12,978","16,883","13,729"
"AT","11,885","12,395","11,885","13,006","11,622","11,217","12,514"
"BPR","25,21","30,234","35,204","26,645","19,468","25,272",
"CAS","4,322","3,486","4,919",,,,
"CBI","17,040686","28,577","17,75","21,158","25,52","19,564",
"CFI","62,118",,,,,,
"CIBG","41,775","43,384","35,327","33,622","34,174","22,326","22,86"
"CJIB","88,655","47,963","48,765","48,071","103,358","98,973","109,099"
"DHC",,"17,008","15,078","14,085","13,3","12,182","11,416"
"Dictu","112,065","122,372","114,099","127,907","156,097","180,997","210,944"
"DJI","2266,59","2127,317","2138,654","2145,851","2313,666","2287,904","2167,396"
"DLG","111,94","110,252","106,416","91,378","78,926","55,762",
"Doc-Direkt",,,"7,369",,,,
"DPC","7,391","15,305","20,008","19,43","22,561","24,632","25,214"
"DR","155,768","160,111","157,58","146,208","147,995",,
"DRZ","0,406","0,552","0,251","0,151","0,064","0,885",
"DTO","359,867","364,121","355,555","335,401","270,638","296,897","265,237"
"DUO",,"231,07","239,49","253,726","258,405","257,007","273,502"
"DVD","120,935","255,31","76,126","78,321","215,641","216,318","1,125"
"EVD","57,548",,,,,,
"FMH",,,"30,711","32,067","30,645","20,456","24,716"
"GDI","35,855","38,876","35,4","43,691","62,721","2,24",
"ILT","93,207","89,148","84,764","147,822","132,231","132,137","132,694"
"IND","291,005","314,974","307,291","290,964","315,432","322,125","352,235"
"IWI","16,6","12,622","9,647","10,589","9,041",,
"Justis","7,386","8,252","16,099","15,558","17,619","15,269","14,469"
"KLPD","564,352","574,097","565,769","574,484",,,
"KNMI","37,933","38,089","39,488","42,814","38,571","39,587","46,668"
"LFR","24,143","14,979",,,,,
"Lindenhorst","8,506","10,306","10,819","9,687","25,155","51,867",
"Logius",,"45,86","39,154","42,755","40,59","58,071","88,599"
"NA","22,82","22,176","21,506","23,374","28,335","34,966","42,045"
"NEA","5,349","6,773","7,04","7,299","7,37","7,063","7,622"
"NFI","68,941","66,311","73,386","70,587","68,273","67,123","71,525"
"NVI","36,581","39,034","10,053","6,249",,,
"NVWA",,,"132,447","121,439","129,522","119,113","128,935"
"Octr. Centrum","16,553",,,,,,
"P-Direkt","2,278","6,533","6,733","7,035","5,126","5,283","69,644"
"Paresto","112,974","108,939","86,228","86,155","77,479","77,629","70,592"
"PD","22,654","22,335",,,,,
"RGD","98,989","23,088","21,57","24,044","22,06","16,672","15,172"
"RIVM","164,764","131,314","160,06","175,506","151,73","159,026","245,963"
"RVIG",,,,,,,"30,128"
"RVO",,,,,,"303,448","314,859"
"RVOB","20,766","22,595","21,791","22,311","21,888","23,141","21,746"
"RWS","2322,938","2409,881","2197,097","2230,363","2270,042","2190,896","2224,488"
"Senter/Novem","91,513",,,,,,
"SSC-ICT",,,,,"35,663","25,533","44,494"
"UBR","43,644","53,616","31,177","31,817","33,194","36,598","35,171"
"VWA","46,228","41,166",,,,,
